# k is in unit of [h/Mpc] and S_i/plin is in unit of [(Mpc/h)^3] 
# k 		 S1/p_lin	   S2/p_lin		S3/p_lin	 S4/p_lin		S5/p_lin	S6/p_lin	 S7/p_lin	   S8/p_lin		S9/p_lin	  S10/p_lin	   S11/p_lin	 S12/p_lin	  S13/p_lin		 S14/p_lin			
# --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1.000000e-03 -5.126915e-06 2.042196e-01 -4.684833e-05 2.752739e-06 -7.879726e-06 6.807321e-02 -1.561609e-05 -7.537953e-06 -3.663989e-06 4.083757e-02 -1.867042e-05 -7.181130e-06 -1.726630e-06 -2.057121e-06
7.704698e-03 -2.348341e-04 2.035195e-01 -2.550363e-03 1.646221e-04 -3.994668e-04 6.783974e-02 -8.501214e-04 -3.837876e-04 -1.921952e-04 4.036366e-02 -9.529744e-04 -3.846244e-04 -9.027788e-05 -1.080652e-04
1.440940e-02 -5.554526e-04 2.020167e-01 -7.910406e-03 5.686890e-04 -1.122729e-03 6.733891e-02 -2.636745e-03 -1.084543e-03 -5.688925e-04 3.934837e-02 -2.752008e-03 -1.164158e-03 -2.679073e-04 -3.222124e-04
2.111409e-02 -6.148644e-04 1.999867e-01 -1.500497e-02 1.223481e-03 -1.840105e-03 6.666249e-02 -5.001607e-03 -1.799417e-03 -1.000044e-03 3.799674e-02 -4.886185e-03 -2.118047e-03 -4.809577e-04 -5.837077e-04
2.781879e-02 -2.339566e-05 1.977014e-01 -2.311030e-02 2.193299e-03 -2.216243e-03 6.590023e-02 -7.703509e-03 -2.214635e-03 -1.328646e-03 3.645878e-02 -7.081333e-03 -3.008438e-03 -6.724497e-04 -8.336154e-04
3.452349e-02 1.575812e-03 1.953633e-01 -3.175258e-02 3.548096e-03 -1.975415e-03 6.512091e-02 -1.058406e-02 -2.080901e-03 -1.421122e-03 3.483870e-02 -9.202693e-03 -3.647708e-03 -7.980256e-04 -1.029064e-03
4.122819e-02 4.287418e-03 1.930016e-01 -4.050096e-02 5.286050e-03 -9.991769e-04 6.433420e-02 -1.350031e-02 -1.284439e-03 -1.202639e-03 3.320059e-02 -1.116435e-02 -3.918204e-03 -8.279387e-04 -1.139748e-03
4.793289e-02 7.690962e-03 1.903508e-01 -4.880156e-02 7.210761e-03 4.787361e-04 6.345014e-02 -1.626715e-02 -3.412369e-05 -7.632691e-04 3.156316e-02 -1.287664e-02 -3.900324e-03 -7.853375e-04 -1.182559e-03
5.463758e-02 1.123525e-02 1.871819e-01 -5.624978e-02 9.104281e-03 2.134662e-03 6.239437e-02 -1.874983e-02 1.386706e-03 -2.411733e-04 2.993688e-02 -1.428492e-02 -3.728190e-03 -7.078809e-04 -1.185442e-03
6.134228e-02 1.481825e-02 1.835629e-01 -6.277511e-02 1.091777e-02 3.899499e-03 6.118791e-02 -2.092506e-02 2.911096e-03 3.314277e-04 2.834310e-02 -1.539975e-02 -3.434595e-03 -6.059254e-04 -1.156455e-03
6.804698e-02 1.890089e-02 1.798601e-01 -6.859924e-02 1.283160e-02 6.064746e-03 5.995276e-02 -2.286594e-02 4.804331e-03 1.088646e-03 2.682506e-02 -1.628672e-02 -2.868288e-03 -4.417822e-04 -1.064478e-03
7.475168e-02 2.439585e-02 1.766312e-01 -7.412063e-02 1.519258e-02 9.207612e-03 5.887703e-02 -2.470677e-02 7.583770e-03 2.295429e-03 2.544342e-02 -1.704499e-02 -1.740479e-03 -1.405048e-04 -8.489116e-04
8.145638e-02 3.193236e-02 1.742095e-01 -7.954876e-02 1.821802e-02 1.370837e-02 5.807024e-02 -2.651596e-02 1.157902e-02 4.131841e-03 2.423598e-02 -1.773630e-02 1.483734e-04 3.527044e-04 -4.655090e-04
8.816107e-02 4.171703e-02 1.726470e-01 -8.489273e-02 2.198661e-02 1.971773e-02 5.754880e-02 -2.829779e-02 1.693436e-02 6.685278e-03 2.321019e-02 -1.838803e-02 2.897194e-03 1.063907e-03 1.075293e-04
9.486577e-02 5.278704e-02 1.713642e-01 -8.967137e-02 2.614061e-02 2.665792e-02 5.712281e-02 -2.989076e-02 2.314000e-02 9.724358e-03 2.231812e-02 -1.893403e-02 6.251062e-03 1.936558e-03 8.211329e-04
1.015705e-01 6.274957e-02 1.690957e-01 -9.294372e-02 2.976386e-02 3.297967e-02 5.636399e-02 -3.098192e-02 2.878984e-02 1.253808e-02 2.142586e-02 -1.922198e-02 9.411689e-03 2.758823e-03 1.502021e-03
1.082752e-01 6.995430e-02 1.649686e-01 -9.412425e-02 3.227578e-02 3.765482e-02 5.499299e-02 -3.137679e-02 3.298853e-02 1.466496e-02 2.044542e-02 -1.914891e-02 1.188373e-02 3.404366e-03 2.047619e-03
1.149799e-01 7.389640e-02 1.590718e-01 -9.338430e-02 3.353257e-02 4.035639e-02 5.302327e-02 -3.112901e-02 3.544569e-02 1.594150e-02 1.936160e-02 -1.875685e-02 1.344804e-02 3.807953e-03 2.398729e-03
1.216846e-01 7.588606e-02 1.522194e-01 -9.144907e-02 3.399834e-02 4.187878e-02 5.073939e-02 -3.048077e-02 3.679984e-02 1.668552e-02 1.825155e-02 -1.816461e-02 1.442940e-02 4.060855e-03 2.627784e-03
1.283893e-01 7.800349e-02 1.456251e-01 -8.925550e-02 3.451528e-02 4.349495e-02 4.854189e-02 -2.975063e-02 3.830458e-02 1.749958e-02 1.722625e-02 -1.755653e-02 1.553386e-02 4.335583e-03 2.881773e-03
1.350940e-01 8.196733e-02 1.402146e-01 -8.751659e-02 3.564388e-02 4.628069e-02 4.673785e-02 -2.917120e-02 4.080752e-02 1.884145e-02 1.637382e-02 -1.704427e-02 1.723860e-02 4.766146e-03 3.269478e-03
1.417987e-01 8.821533e-02 1.362175e-01 -8.636464e-02 3.759755e-02 5.055730e-02 4.540547e-02 -2.878973e-02 4.465914e-02 2.089071e-02 1.572693e-02 -1.667373e-02 1.975270e-02 5.407276e-03 3.831823e-03
