# k is in unit of [h/Mpc] and S_i/plin is in unit of [(Mpc/h)^3] 
# k 		 S1/p_lin	   S2/p_lin		S3/p_lin	 S4/p_lin		S5/p_lin	S6/p_lin	 S7/p_lin	   S8/p_lin		S9/p_lin	  S10/p_lin	   S11/p_lin	 S12/p_lin	  S13/p_lin		 S14/p_lin			
# --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1.000000e-03 -2.945301e-06 4.903301e-02 3.265864e-02 3.756641e-06 -5.805451e-06 3.268867e-02 4.354486e-02 -9.254645e-06 -3.854267e-06 9.802588e-03 1.305817e-02 -8.922233e-06 -1.065986e-06 -2.561730e-06
7.704698e-03 -1.075634e-04 4.840657e-02 3.070892e-02 2.258518e-04 -2.563717e-04 3.227098e-02 4.094513e-02 -4.266192e-04 -1.874472e-04 9.472998e-03 1.206611e-02 -4.482706e-04 -5.159345e-05 -1.252227e-04
1.440940e-02 -1.268828e-04 4.708472e-02 2.685220e-02 7.797609e-04 -5.590773e-04 3.138985e-02 3.580296e-02 -1.016653e-03 -4.889272e-04 8.811937e-03 1.027664e-02 -1.226592e-03 -1.370120e-04 -3.370054e-04
2.111409e-02 2.453229e-04 4.535829e-02 2.223350e-02 1.688164e-03 -5.168914e-04 3.023891e-02 2.964464e-02 -1.230091e-03 -6.955470e-04 8.004292e-03 8.324904e-03 -1.917424e-03 -2.084859e-04 -5.292050e-04
2.781879e-02 1.292376e-03 4.349931e-02 1.755908e-02 3.041089e-03 2.034351e-04 2.899953e-02 2.341223e-02 -6.276301e-04 -6.174702e-04 7.174478e-03 6.507290e-03 -2.168586e-03 -2.261464e-04 -6.215198e-04
3.452349e-02 3.184330e-03 4.168140e-02 1.323340e-02 4.894454e-03 1.796749e-03 2.778765e-02 1.764495e-02 1.048127e-03 -1.257422e-04 6.395717e-03 4.940653e-03 -1.747210e-03 -1.620577e-04 -5.615502e-04
4.122819e-02 5.798111e-03 3.989527e-02 9.488990e-03 7.124310e-03 4.168824e-03 2.659683e-02 1.265197e-02 3.698784e-03 7.706514e-04 5.698020e-03 3.660737e-03 -6.443361e-04 -1.472014e-05 -3.457358e-04
4.793289e-02 8.575568e-03 3.789500e-02 6.448784e-03 9.300216e-03 6.783310e-03 2.526327e-02 8.598617e-03 6.705094e-03 1.851884e-03 5.070355e-03 2.663141e-03 8.321762e-04 1.772119e-04 -3.829935e-05
5.463758e-02 1.098820e-02 3.552862e-02 4.113055e-03 1.105351e-02 9.124725e-03 2.368570e-02 5.484165e-03 9.458239e-03 2.882238e-03 4.495949e-03 1.914672e-03 2.331959e-03 3.687547e-04 2.841300e-04
6.134228e-02 1.292978e-02 3.290655e-02 2.394850e-03 1.233794e-02 1.106758e-02 2.193819e-02 3.193947e-03 1.178830e-02 3.786833e-03 3.975657e-03 1.369802e-03 3.722907e-03 5.427241e-04 5.892149e-04
6.804698e-02 1.463627e-02 3.031254e-02 1.182434e-03 1.337957e-02 1.282317e-02 2.020805e-02 1.576453e-03 1.394009e-02 4.650481e-03 3.525632e-03 9.843094e-04 5.109450e-03 7.141271e-04 8.982392e-04
7.475168e-02 1.651041e-02 2.805399e-02 3.786015e-04 1.449941e-02 1.477305e-02 1.870278e-02 5.050995e-04 1.632982e-02 5.634783e-03 3.167482e-03 7.273562e-04 6.698280e-03 9.117407e-04 1.253909e-03
8.145638e-02 1.863020e-02 2.621264e-02 -8.459453e-05 1.576347e-02 1.695615e-02 1.747517e-02 -1.129328e-04 1.900740e-02 6.759181e-03 2.901178e-03 5.736163e-04 8.500774e-03 1.139521e-03 1.658003e-03
8.816107e-02 2.081104e-02 2.469463e-02 -2.690963e-04 1.706312e-02 1.921742e-02 1.646326e-02 -3.580564e-04 2.178731e-02 7.952062e-03 2.707683e-03 5.003450e-04 1.040985e-02 1.385746e-03 2.090765e-03
9.486577e-02 2.248877e-02 2.318815e-02 -2.364727e-04 1.798570e-02 2.099987e-02 1.545804e-02 -3.153845e-04 2.400171e-02 8.949850e-03 2.544720e-03 4.811264e-04 1.202971e-02 1.599141e-03 2.465920e-03
1.015705e-01 2.294279e-02 2.127953e-02 -7.295018e-05 1.800717e-02 2.158243e-02 1.418592e-02 -9.760329e-05 2.480214e-02 9.401193e-03 2.354500e-03 4.842998e-04 1.284627e-02 1.710610e-03 2.669942e-03
1.082752e-01 2.195430e-02 1.886858e-02 1.304221e-04 1.700581e-02 2.076706e-02 1.257897e-02 1.743317e-04 2.397204e-02 9.204054e-03 2.113878e-03 4.840341e-04 1.271811e-02 1.699259e-03 2.671569e-03
1.149799e-01 1.992146e-02 1.618679e-02 3.097732e-04 1.527426e-02 1.892164e-02 1.079103e-02 4.127305e-04 2.190655e-02 8.500205e-03 1.839822e-03 4.688855e-04 1.183343e-02 1.587327e-03 2.506180e-03
1.216846e-01 1.749225e-02 1.357755e-02 4.406668e-04 1.329793e-02 1.666654e-02 9.051037e-03 5.866387e-04 1.934227e-02 7.574370e-03 1.567270e-03 4.420837e-04 1.060373e-02 1.428243e-03 2.261016e-03
1.283893e-01 1.520788e-02 1.131764e-02 5.310162e-04 1.147266e-02 1.453879e-02 7.545261e-03 7.092934e-04 1.691088e-02 6.678624e-03 1.328350e-03 4.127961e-04 9.397690e-03 1.270483e-03 2.016548e-03
1.350940e-01 1.332938e-02 9.503005e-03 5.973343e-04 9.979246e-03 1.278245e-02 6.335331e-03 7.971109e-04 1.490444e-02 5.937381e-03 1.135552e-03 3.870813e-04 8.394940e-03 1.139414e-03 1.812709e-03
1.417987e-01 1.179624e-02 8.063298e-03 6.471065e-04 8.766420e-03 1.134905e-02 5.374719e-03 8.620378e-04 1.325983e-02 5.327422e-03 9.820722e-04 3.656426e-04 7.565311e-03 1.031073e-03 1.643593e-03
1.485034e-01 1.046589e-02 6.874650e-03 6.770590e-04 7.719886e-03 1.009195e-02 4.582862e-03 9.029307e-04 1.181124e-02 4.785352e-03 8.540049e-04 3.453722e-04 6.821481e-03 9.340797e-04 1.491468e-03
1.552081e-01 9.154631e-03 5.820482e-03 6.803852e-04 6.713131e-03 8.849378e-03 3.879971e-03 9.067578e-04 1.037555e-02 4.236529e-03 7.373330e-04 3.211380e-04 6.056223e-03 8.334311e-04 1.331643e-03
1.619128e-01 7.791779e-03 4.826727e-03 6.502524e-04 5.683618e-03 7.548034e-03 3.217814e-03 8.671719e-04 8.863241e-03 3.645701e-03 6.230303e-04 2.896775e-04 5.223458e-03 7.225505e-04 1.154826e-03
1.686174e-01 6.397450e-03 3.883337e-03 5.902882e-04 4.645627e-03 6.207488e-03 2.588794e-03 7.868984e-04 7.297631e-03 3.022795e-03 5.101315e-04 2.513761e-04 4.337486e-03 6.033752e-04 9.639335e-04
1.753221e-01 5.069172e-03 3.031706e-03 5.109413e-04 3.667310e-03 4.925402e-03 2.021111e-03 6.812259e-04 5.796031e-03 2.416045e-03 4.049469e-04 2.100892e-04 3.469963e-03 4.852437e-04 7.746482e-04
1.820268e-01 3.921270e-03 2.316538e-03 4.274264e-04 2.827038e-03 3.815294e-03 1.544445e-03 5.697921e-04 4.492387e-03 1.884360e-03 3.143787e-04 1.709169e-04 2.707679e-03 3.806964e-04 6.071377e-04
1.887315e-01 3.001587e-03 1.753443e-03 3.508671e-04 2.156946e-03 2.923713e-03 1.168947e-03 4.678506e-04 3.446368e-03 1.454217e-03 2.416125e-04 1.372174e-04 2.091169e-03 2.955629e-04 4.709994e-04
1.954362e-01 2.297035e-03 1.327312e-03 2.860318e-04 1.645592e-03 2.240268e-03 8.849224e-04 3.813440e-04 2.642926e-03 1.121739e-03 1.856242e-04 1.097990e-04 1.613964e-03 2.293234e-04 3.651538e-04
2.021409e-01 1.764095e-03 1.008684e-03 2.325208e-04 1.259859e-03 1.722076e-03 6.724462e-04 3.100153e-04 2.032977e-03 8.677270e-04 1.430775e-04 8.789437e-05 1.248933e-03 1.783462e-04 2.837263e-04
2.088456e-01 1.356677e-03 7.682934e-04 1.881698e-04 9.661619e-04 1.325933e-03 5.121984e-04 2.509296e-04 1.566338e-03 6.721994e-04 1.104578e-04 7.027026e-05 9.678556e-04 1.388917e-04 2.207872e-04
